,CC-period-start,CC-period-stop
0,110.091376,136.159436
1,142.12848,179.34113
2,182.887521,199.160143
3,201.963444,216.418945
4,218.727827,233.392526
5,235.700925,237.200924
6,242.249,256.959751
7,259.598246,274.716759
8,277.355786,365.478701
9,366.339812,393.279364
10,396.550636,425.646911
11,428.616613,445.247756
12,448.500486,483.001641
13,485.942503,506.079665
14,509.269198,526.31086
15,529.376722,547.232015
16,550.567282,569.770664
17,573.081144,585.434301
18,605.938457,617.672727
19,627.117588,648.136762
20,651.40883,658.136447
21,675.574509,697.694729
22,701.599839,767.700921
23,774.370931,812.059958
