,CC-period-start,CC-period-stop
0,413.97200000000004,469.64000000000004
1,475.35600000000005,580.48
2,581.74,622.5400000000001
3,624.8960000000001,710.168
4,716.216,783.744
5,785.404,834.7120000000001
6,850.9960000000001,882.9960000000001
7,885.176,1028.7240000000002
8,1029.844,1152.268
9,1155.0800000000002,1275.5800000000002
10,1282.7720000000002,1405.6960000000001
11,1411.6080000000002,1610.9160000000002
12,1612.064,1772.832
13,1775.584,1893.3480000000002
14,1896.816,1922.928
15,1924.228,2009.0200000000002
16,2010.5120000000002,2013.5120000000002
17,2014.8760000000002,2019.392
18,2035.3560000000002,2157.116
19,2159.2960000000003,2197.5640000000003
20,2204.0040000000004,2241.7960000000003
21,2255.072,2292.396
22,2311.5480000000002,2376.396
23,2382.28,2404.648
24,2407.484,2421.6440000000002
25,2430.2920000000004,2452.6600000000003
26,2455.424,2477.88
27,2480.676,2503.1000000000004
28,2505.9120000000003,2528.328
29,2531.136,2553.5240000000003
30,2556.34,2578.7360000000003
31,2581.572,2603.9480000000003
32,2606.8160000000003,2629.188
33,2632.0040000000004,2654.3720000000003
34,2657.224,2679.596
35,2682.436,2704.808
36,2707.596,2730.0240000000003
37,2732.848,2755.224
38,2758.056,2780.436
39,2783.2560000000003,2805.628
40,2808.452,2830.8360000000002
41,2833.6560000000004,2856.036
42,2858.8520000000003,2881.264
43,2884.068,2906.5040000000004
44,2909.3160000000003,2931.7400000000002
45,2934.4680000000003,2956.904
46,2959.7920000000004,2982.1400000000003
47,2984.98,3007.356
48,3010.204,3032.576
49,3035.3520000000003,3057.788
50,3060.5640000000003,3082.972
51,3085.764,3108.224
52,3111.052,3133.4080000000004
53,3136.2400000000002,3158.632
54,3161.4320000000002,3183.84
55,3186.648,3209.0400000000004
56,3211.856,3234.264
57,3237.0600000000004,3259.4640000000004
58,3262.304,3284.684
59,3287.492,3309.884
60,3312.708,3335.132
61,3337.9080000000004,3360.3280000000004
62,3363.096,3385.5280000000002
63,3388.3160000000003,3410.7320000000004
64,3413.5480000000002,3435.9280000000003
65,3438.76,3461.1600000000003
66,3463.972,3486.3520000000003
67,3489.1760000000004,3511.552
68,3514.42,3536.8080000000004
69,3539.6240000000003,3562.0080000000003
70,3564.82,3587.208
71,3590.0480000000002,3612.44
72,3615.2560000000003,3637.6440000000002
73,3640.4440000000004,3662.856
74,3665.6600000000003,3688.068
75,3690.864,3713.2720000000004
76,3716.0800000000004,3738.4840000000004
77,3741.2920000000004,3763.684
78,3766.512,3772.4120000000003
79,3787.1160000000004,3809.492
80,3812.304,3834.7160000000003
81,3837.5000000000005,3859.9280000000003
82,3862.724,3885.1360000000004
83,3887.9320000000002,3910.36
84,3913.148,3935.568
85,3938.356,3960.768
86,3963.572,3985.9840000000004
87,3988.768,4011.1960000000004
88,4013.9800000000005,4036.4080000000004
89,4039.2000000000003,4061.6160000000004
90,4064.3920000000003,4086.8280000000004
91,4089.612,4112.036
92,4114.820000000001,4137.240000000001
93,4140.036,4162.452
94,4165.232,4187.66
95,4190.456,4212.872
96,4215.668000000001,4238.084
97,4240.872,4258.044
98,4335.548000000001,4357.928
99,4360.724,4383.14
100,4385.924,4396.344
101,4411.0560000000005,4433.432000000001
102,4436.212,4438.984
103,4496.436000000001,4518.812
104,4521.5960000000005,4544.012000000001
105,4546.8,4569.228
106,4572.012000000001,4594.42
107,4597.200000000001,4619.624000000001
108,4622.400000000001,4644.828
109,4647.604,4670.028
110,4768.444,4790.828
111,4793.612,4816.036
112,4818.832,4841.2480000000005
113,4844.04,4866.46
114,4869.240000000001,4891.664000000001
115,4894.456,4916.872
116,4919.668000000001,4933.8
117,5011.028,5033.408
118,5036.196,5039.872
119,5062.424,5084.808
120,5087.592000000001,5110.02
121,5112.812,5135.228
122,5138.0160000000005,5154.432000000001
123,5309.160000000001,5312.588000000001
124,5318.316000000001,5322.3240000000005
125,5360.676,5365.372
