,CC-period-start,CC-period-stop
0,733.200718,799.660303
1,856.053746,897.80238
2,923.075604,927.146642
3,930.53462,971.272325
4,986.272325,1006.163036
5,1035.097462,1057.365222
6,1087.80238,1160.681702
7,1161.392085,1243.540086
8,1247.119321,1292.747736
9,1295.152108,1298.348829
10,1371.408939,1392.611124
11,1395.671234,1416.955387
12,1419.004567,1436.545551
13,1440.999103,1456.326972
14,1459.441726,1474.660305
15,1478.212218,1493.23954
16,1522.173966,1537.884349
17,1543.403475,1646.272328
18,1654.305114,1756.354295
19,1766.736809,1840.452656
20,1850.015498,1864.305115
21,1867.173968,1870.316044
22,1872.611126,1972.365225
23,1975.316044,2081.709488
24,2090.753203,2226.490908
25,2293.676701,2389.79692
26,2391.873423,2601.600199
27,2608.840637,2611.053752
28,2620.398014,2650.507303
29,2653.239544,2655.561948
30,2664.551019,2686.846101
31,2689.714954,2712.201293
32,2714.960856,2737.28326
33,2740.152112,2861.518233
34,2864.359763,3268.430803
35,3279.30512,3863.430804
36,3885.671242,4411.518238
37,4424.71496,4571.408949
38,4572.55649,4619.414414
39,4631.436272,4647.283266
40,4652.392556,4674.851572
41,4677.55649,4700.042829
42,4702.720425,4725.234086
43,4727.911682,4750.370698
44,4753.048294,4775.561955
45,4778.266873,4800.862502
46,4803.485452,4825.999114
47,4828.676709,4851.19037
48,4853.867966,4876.272338
49,4879.031901,4901.463595
50,4904.223158,4926.791464
51,4929.387092,4951.900754
52,4954.660316,4977.146655
53,4979.824251,5000.15212
