,CC-period-start,CC-period-stop
0,733.34,799.672
1,855.792,897.7280000000001
2,923.1640000000001,927.192
3,932.0360000000001,971.192
4,986.1120000000001,1006.1
5,1035.232,1057.2040000000002
6,1087.8,1243.644
7,1247.188,1292.8960000000002
8,1295.184,1298.248
9,1371.4,1392.688
10,1395.864,1417.02
11,1418.9640000000002,1436.64
12,1441.132,1456.404
13,1459.548,1474.736
14,1478.248,1493.3400000000001
15,1522.3280000000002,1537.904
16,1543.3280000000002,1646.26
17,1654.256,1756.392
18,1766.672,1840.476
19,1850.056,1864.4440000000002
20,1867.2600000000002,1870.208
21,1872.5240000000001,1972.172
22,1975.3080000000002,2081.8160000000003
23,2090.916,2226.3320000000003
24,2293.788,2389.844
25,2391.864,2601.972
26,2608.8360000000002,2611.1240000000003
27,2620.512,2650.512
28,2653.204,2655.6240000000003
29,2664.492,2686.8320000000003
30,2689.648,2712.052
31,2714.856,2737.116
32,2740.0440000000003,2861.28
33,2864.248,3268.42
34,3279.26,3863.244
35,3885.628,4411.280000000001
36,4424.668000000001,4569.032
37,4574.292,4619.316000000001
38,4631.360000000001,4647.176
39,4652.328,4674.692
40,4677.496,4699.884
41,4702.68,4725.076
42,4727.884,4750.272
43,4753.076,4775.452
44,4778.264,4800.652
45,4803.448,4825.84
46,4828.636,4851.028
47,4853.832,4876.216
48,4879.02,4901.416
49,4904.2080000000005,4926.612
50,4929.396000000001,4951.8
51,4954.6,4976.988
52,4979.792,4999.928
53,5655.088000000001,5659.2480000000005
54,5660.76,5663.892000000001
